sleep_mins,sleep_qlt,steps,rhr_avg,screen_mins,water_l,stress_avg,mood_avg,caffeine_mg,diet_qlt,prod_mins,exercise_mins,wellness_tmrw
467.76341901680877,9,3219,66.79023622491331,543.6573087900317,1.1509018199298782,7,4,85.42097286682986,2,148,78,61.5362470332494
422.04497031567473,8,8041,77.21803738711353,348.7700472947657,2.8184799532310976,4,2,106.93433541728812,5,475,71,63.78149342690875
478.6335747432499,9,19444,53.90465597436983,326.91252192469034,2.9057726259734467,3,6,163.284541079411,1,226,6,78.10007565520331
541.6581496613778,5,6287,78.15109596177984,573.1170565073035,1.4967592918592882,1,9,107.72125768353148,6,213,110,65.96472567163453
415.1409570199198,7,2619,69.599046594598,259.4100162504945,1.7680524323689195,8,1,230.98059288420765,2,359,118,15.695926274064131
415.14213909965906,8,9512,50.0,489.2730619401163,2.1493687030888293,3,10,211.7299133249542,4,150,173,53.322772955983986
545.7033227165322,8,2342,80.38542166267757,319.39604627495106,4.0,2,7,25.16301171239199,6,191,62,66.90893245803171
487.2553004990094,8,11568,81.55338462839174,357.0071195188539,2.636097398071146,4,10,161.6774532459863,10,450,123,79.47419168995505
398.19784421268344,8,19378,54.76390342507863,117.40427162054807,1.4452675879932966,3,9,241.62713898476022,8,39,11,80.44555944445293
471.0643231381895,9,15231,71.4033686024009,227.69298077576747,2.4430242475924047,1,10,80.41752433864933,8,241,140,100.0
398.6339261175027,8,4490,81.10872897155346,90.37226507341896,1.0986467674895348,3,9,96.45881025651548,6,137,42,47.0199858686834
398.4674577429415,6,10310,79.84129050765716,285.71323826619823,2.774392247932937,2,10,77.75704017176358,4,344,16,40.50673089755765
449.42128355275446,7,8984,76.68848840927619,358.56035158744004,3.5404379148355885,8,3,79.43395075811955,8,179,62,50.80392671896746
294.2438223846386,8,18988,50.0,133.49428423628217,3.5438333480671664,6,5,0.0,8,199,119,58.55483991684019
307.8059160590617,7,13219,75.83634213308652,607.3768384027235,2.787914802779471,9,8,13.734803882795944,10,202,35,40.01769974779781
391.51529789465,6,1235,68.25516881300845,341.7159028637941,1.7332701153054966,8,8,126.19789749897839,1,60,7,7.503182479009038
359.0761593359215,6,11161,77.96686022974795,308.6693378377829,1.1592785947886994,10,4,241.08783797222227,4,191,68,26.709535296363708
454.6258079468597,7,2908,72.0492916674706,415.4486627018438,1.079835965304713,3,1,70.93113499853737,4,4,89,42.475040290042195
366.6222665624729,4,9567,69.84094711768908,175.6607878701117,0.0,5,1,68.57941576411535,7,377,35,22.071471620861942
330.314133503859,5,4530,75.12723079527389,324.521621875118,2.7550846104063376,7,4,256.1216856336588,7,236,27,4.496571520047172
537.5267113623519,4,6256,68.62469303142593,192.4700669463613,2.1177315838204804,5,6,31.33940305472106,8,180,117,49.752977607252305
415.74410636496947,4,9162,69.80578176086446,533.8019865133474,2.927372933162502,8,8,0.0,5,310,92,31.478036163480887
436.8620307375305,9,19944,65.5582080069699,141.20409759043778,3.3424251881878306,5,6,53.71876510900002,7,36,174,88.338981833203
329.41813059263114,4,6415,57.1567280705235,309.47481889607604,2.279924435121928,1,9,66.9772416964507,8,55,75,32.04077250975785
392.8044438341869,8,4391,74.54282779017016,349.3973677727663,2.31676928777052,5,9,0.0,9,442,100,53.79289981571341
439.98642645911036,9,12157,63.55175744263544,359.22386166115524,1.828543724402027,4,2,109.7566634980311,3,236,157,66.88864619810107
349.1284624255942,9,6951,68.39366507167412,212.81472403757516,1.9231324662620737,6,10,195.87570798892284,3,357,150,36.33321686857063
459.0502573208884,6,9007,72.29579166763146,165.67358967823532,2.782775929978347,3,1,17.123618102813907,4,348,143,63.735012426199134
388.7540143258461,4,10064,53.318258851476486,214.98072404308513,2.060499975707752,5,2,127.00625751628712,5,196,13,18.134227311865047
410.9980500148841,6,16524,55.10920877058541,379.2488151315423,1.9447938665977411,2,5,151.67485405014185,10,72,70,49.818845379558205
388.6771239194834,7,1077,67.60209138712638,278.42313436320546,2.185346512445719,6,4,113.32925797805655,1,58,179,20.466882991289502
565.3640292846435,5,8577,73.63650785839725,419.4313212678782,2.909064156849272,6,4,134.85540717928475,7,239,123,37.84453639312679
431.02819981886876,9,17984,75.95230616519329,371.550557909261,1.645870753735918,5,9,135.78618100761688,9,1,124,60.86328243610601
355.8448131151752,7,15060,57.26948403299274,0.0,2.146777185958374,6,8,54.981763446525434,8,448,36,53.608747863076815
491.22323367142957,7,18449,75.09305187530252,337.1246695255816,2.396222270222744,7,6,239.88660576094946,5,359,28,69.02672004949423
344.09925720208645,8,19520,68.03944305346931,637.5682151724405,3.1281775228681914,5,1,219.82054672609723,4,187,142,44.15939246388679
447.0381788403424,5,11535,62.93474203922818,498.79035765574963,2.0085625785604653,1,2,215.1929117792934,7,306,174,57.19517808054465
290.9037510806562,7,10510,64.81158515152504,363.30197410604535,1.6257412911586224,8,6,201.0940592435091,5,29,173,32.18880343922932
